predictor,coefficient_beta,std_error,z_score,p_value,odds_ratio,ci_95_lower,ci_95_upper,relationship_type
intercept,-1.203,0.0172,-69.9547,0.0,0.3003,0.2903,0.3106,ASSOCIATION
info_crosscheck_chats,0.2727,0.0508,5.3715,0.0,1.3136,1.1891,1.451,ASSOCIATION
demon_nomination_count,0.2903,0.0215,13.5261,0.0,1.3368,1.2817,1.3942,ASSOCIATION
nomination_friendly_fire,0.0559,0.0173,3.2357,0.001213,1.0575,1.0223,1.0939,ASSOCIATION
evil_coordination_rate,-0.1684,0.0173,-9.7293,0.0,0.845,0.8168,0.8742,ASSOCIATION
night_kill_value,-0.3288,0.0189,-17.3775,0.0,0.7198,0.6936,0.747,ASSOCIATION
game_length_days,-0.5613,0.052,-10.7946,0.0,0.5705,0.5152,0.6317,ASSOCIATION
